customer_id,first_name,last_name,email,phone,address,city,state,country,postal_code,age,gender,fitness_goal,dietary_preference,registration_date,last_login_date,subscription_status,loyalty_points
CUST3E32E0461DFB,Radhika,Chadha,vdevi@example.com,05397994203,"22/225
Bobal Ganj",Lucknow,Gujarat,India,682175,19,Other,General Fitness,Gluten-Free,2024-07-31,2025-03-19 05:41:35,True,4693
CUST3AE9ACF10EF8,Laksh,Pai,onayak@example.com,06091929087,"132, Badal Zila",Hyderabad,West Bengal,India,830856,41,Male,Other,None,2025-07-12,2025-09-16 08:21:17,False,6183
CUSTC5B5F1C5AD4C,Ekaraj,Gaba,bachittarsubramaniam@example.com,+910140440752,"27
Barad Zila",Jaipur,Rajasthan,India,663369,41,Male,General Fitness,Non-Vegetarian,2024-02-17,2024-05-20 12:05:49,False,5507
CUSTFD4CACFFB74B,Viraj,Dave,karnikchaman@example.com,2551216599,"273
Sangha Path",Mumbai,Maharashtra,India,371282,32,Male,Muscle Gain,Vegetarian,2023-10-09,2025-05-31 01:18:01,True,2939
CUSTE3BDEC111233,Viraj,Ratti,andrewborra@example.org,4088079385,"72/160, Pal Ganj",Bangalore,Delhi,India,594548,39,Female,Muscle Gain,None,2024-10-10,2025-08-02 07:42:47,True,8913
CUSTAE653D15EE8C,Gavin,Parmer,imaran79@example.net,+915769420486,"H.No. 51, Shenoy Ganj",Delhi,Telangana,India,077823,21,Female,Weight Loss,Non-Vegetarian,2024-04-27,2024-07-03 02:08:36,True,466
CUST222EDD6908B3,Vinaya,Gara,ynazareth@example.net,02754321638,"H.No. 45, Ranganathan Circle",Bangalore,Karnataka,India,294925,32,Male,Muscle Gain,Non-Vegetarian,2025-07-24,2025-09-06 17:03:18,True,5425
CUSTCF9569F034F1,Ganga,Chahal,qchadha@example.net,6692648032,"76/39
Gopal",Hyderabad,Karnataka,India,621509,20,Male,General Fitness,Vegetarian,2024-09-05,2024-09-09 13:12:14,True,7018
CUST04E946437CFA,Girish,Krishnan,hiraldivan@example.net,05313704225,"H.No. 37
Shanker Zila",Pune,Gujarat,India,554559,24,Female,Endurance,Vegan,2024-02-24,2024-05-31 01:24:08,False,557
CUST1DDDE9D43CC6,Kai,Banik,gangulysarthak@example.net,3285626719,"H.No. 754, Balakrishnan Road",Kolkata,Karnataka,India,721634,28,Other,Muscle Gain,Vegan,2025-04-12,2025-05-16 00:49:23,False,5704
CUST5B609D586EC2,Dayamai,Sarraf,aarnav40@example.org,07504090925,"00/72
Cherian Chowk",Ahmedabad,Rajasthan,India,550421,19,Male,Endurance,None,2024-12-03,2025-06-09 15:41:24,False,7869
CUSTF665357B3441,Aadi,Suresh,tanne@example.net,7029465619,"78/08
Keer Road",Pune,Karnataka,India,314698,21,Female,Other,Gluten-Free,2024-02-24,2025-01-22 06:57:35,True,3728
CUSTCD1498F97E7C,Pooja,Narasimhan,wram@example.com,04915398243,"H.No. 343
Dugal Road",Lucknow,Karnataka,India,385425,18,Other,Muscle Gain,Gluten-Free,2025-03-13,2025-05-06 10:01:10,False,246
CUSTC922BF1CA01F,Pooja,Kulkarni,chandran84@example.net,+910759704048,"86
Gupta Road",Chennai,Maharashtra,India,607142,30,Other,Other,Non-Vegetarian,2025-01-14,2025-01-31 21:57:06,True,3568
CUST3A93E2DF13C0,Vinaya,Gera,xbasu@example.net,9129215150,"237
Chandra Marg",Hyderabad,West Bengal,India,444614,48,Other,Weight Loss,Gluten-Free,2023-12-20,2024-07-24 20:08:18,False,5416
CUST35C338DD97B4,Vyanjana,Kaur,ikbalrandhawa@example.org,+915125458409,"98/71
Narula Road",Delhi,Rajasthan,India,284145,36,Other,Endurance,Vegetarian,2025-05-05,2025-08-02 18:46:29,False,9504
CUST097BC00530D0,Aarav,Kamdar,lmahal@example.net,1662610503,"58/96
Ghose Road",Delhi,Gujarat,India,336764,45,Female,Other,Non-Vegetarian,2025-05-28,2025-07-13 00:00:11,False,344
CUSTFF4AE0BD2EAA,Jeremiah,Korpal,biswaszayan@example.org,+913320271679,"H.No. 299
Dugal",Bangalore,Telangana,India,985433,42,Other,Endurance,None,2023-12-14,2025-08-28 16:51:58,True,1192
CUST58DBDFCCDD19,Pavani,Kari,isodhi@example.org,01808728049,"84, Soman Path",Kolkata,Karnataka,India,833552,21,Other,General Fitness,Gluten-Free,2024-02-02,2024-03-22 05:48:50,True,7892
CUST8379BFD82F97,Hiral,Shanker,abhiram55@example.net,7262107799,"09/851
Comar Street",Jaipur,Rajasthan,India,541187,47,Female,Other,None,2025-05-16,2025-08-23 19:27:48,False,168
CUSTE96270155A60,Vihaan,Kamdar,anthony13@example.com,05443195741,"H.No. 50
Ramanathan Marg",Bangalore,Karnataka,India,264489,49,Male,Muscle Gain,Vegetarian,2023-11-02,2024-02-15 04:46:25,True,6760
CUST62188E29A709,Nandini,Kakar,shahsimon@example.org,06880355921,"51/96
Choudhry Path",Delhi,Delhi,India,311621,20,Male,Weight Loss,None,2025-07-16,2025-08-16 05:57:56,True,7762
CUSTC685B1447171,Ekaja,Apte,chanakyasur@example.org,+913830017882,"H.No. 631, Misra Zila",Lucknow,Tamil Nadu,India,298262,34,Female,Weight Loss,Vegetarian,2024-06-28,2025-08-27 05:00:07,False,554
CUST55F1DD993A18,Anmol,Banik,mbala@example.org,08367139294,"76/665, Chaudhary Circle",Ahmedabad,Gujarat,India,433826,30,Female,Muscle Gain,Vegetarian,2024-07-09,2025-08-06 13:57:08,False,7586
CUST832B00DB12E0,Amol,Choudhry,ishanvinarasimhan@example.org,+916492245279,"88/26, Som Zila",Delhi,Delhi,India,738926,41,Other,Endurance,Vegan,2024-11-13,2025-07-24 23:58:58,False,92
CUST88BC7BCDA71E,Kashvi,Sachar,psarin@example.com,08830303894,"01/36
Jha Chowk",Chennai,West Bengal,India,845868,33,Male,Endurance,Gluten-Free,2025-07-11,2025-09-16 06:51:45,True,9817
CUSTA196121473D6,Chatresh,Mahal,yatingrewal@example.org,+914295820036,"85/643, Sridhar Chowk",Mumbai,Karnataka,India,406183,45,Other,Weight Loss,Vegetarian,2023-12-01,2025-04-06 05:32:29,True,8688
CUST8F950F6759EA,Idika,Divan,patrick26@example.com,04346169927,"314
Kapur Street",Hyderabad,Tamil Nadu,India,375547,18,Male,Weight Loss,Vegan,2025-01-19,2025-09-05 19:12:46,False,3656
CUST0E78D85CFA4C,Rayaan,Ray,vaishnavizachariah@example.com,0576605079,"07
Anand Marg",Bangalore,Tamil Nadu,India,150501,49,Female,Other,Non-Vegetarian,2025-02-20,2025-02-22 20:43:21,False,4627
CUSTDE30B5C76FFF,Vanya,Natarajan,mallickunnati@example.com,1263714282,"H.No. 55
Korpal Ganj",Hyderabad,Telangana,India,398989,35,Other,Other,Non-Vegetarian,2024-05-22,2025-05-31 04:33:50,True,2531
